trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;2;0;0;0;490;490;0;0;0;1;1;SP;1000;2000;2000;2000;;;;
;1;2;0;0;0;671;671;0;0;0;0;-1;AC;2000;1000;2000;2000;;;;
;2;2;0;0;0;492;492;0;0;0;0;1;SP;1500;1500;2000;1500;;;;
;2;2;0;0;0;728;728;0;0;0;0;1;SP;2000;500;2000;1500;;;;
;1;2;0;0;0;1417;1417;0;0;0;0;-1;SP;500;1000;2000;1000;;;;
;1;2;0;0;0;667;667;0;0;0;0;-1;AC;1000;1000;2000;1500;;;;
;1;2;0;0;0;1335;1335;0;0;0;0;-1;AC;1500;1000;2000;2000;;;;
;2;2;0;0;0;611;611;0;0;0;1;1;AC;2000;1500;2000;500;;;;
;2;2;0;0;0;807;807;0;0;0;1;1;SP;1000;2000;2000;1500;;;;
;1;2;0;0;0;474;474;0;0;0;1;-1;SP;2000;500;2000;1500;;;;
;1;2;0;0;0;474;474;0;0;0;1;-1;AC;500;500;2000;2000;;;;
;1;2;0;0;0;1159;1159;0;0;0;0;-1;AC;500;500;2000;2000;;;;
;2;2;0;0;0;1159;1159;0;0;0;0;1;AC;1500;1000;2000;1000;;;;
;1;1;0;0;0;1076;1076;0;0;0;1;-1;AC;1000;1000;2000;2000;;;;
;1;2;0;0;0;847;847;0;0;0;0;-1;AC;1000;1000;2000;500;;;;
;2;2;0;0;0;930;930;0;0;0;1;1;AC;1500;2000;2000;1000;;;;
;1;2;0;0;0;522;522;0;0;0;0;-1;AC;500;500;2000;2000;;;;
;1;2;0;0;0;685;685;0;0;0;0;-1;AC;2000;500;2000;500;;;;
;2;2;0;0;0;718;718;0;0;0;0;1;SP;1000;2000;2000;500;;;;
;1;1;0;0;0;367;367;0;0;0;0;-1;SP;1000;2000;2000;1500;;;;
;1;2;0;0;0;593;593;0;0;0;0;-1;SP;1000;500;2000;1000;;;;
;2;2;0;0;0;664;664;0;0;0;0;1;SP;1500;1000;2000;1500;;;;
;2;2;0;0;0;1285;1285;0;0;0;1;1;AC;500;1500;2000;1000;;;;
;2;1;0;0;0;1500;1500;0;0;0;0;1;AC;1000;500;2000;2000;;;;
